vx	vy	vz	score	numLines
0.99998000	0.00632384	0.00004143	12476.92	385
0.90357499	0.42842914	-0.00084251	2490.11	116
-0.99311033	-0.11717739	-0.00115149	331.07	40

nLines	x1	y1	x2	y2	length
385
	498.00	5.90	633.99	6.85	136.00
	500.03	9.47	510.02	9.36	9.99
	503.01	15.65	634.00	14.94	131.00
	505.02	23.44	634.00	24.05	128.99
	537.96	31.62	634.01	33.62	96.07
	509.00	31.97	538.00	33.59	29.05
	559.99	37.14	582.04	36.82	22.05
	518.98	40.19	555.00	42.77	36.11
	555.99	42.80	634.01	41.78	78.03
	568.03	54.57	593.01	54.38	24.99
	573.01	51.63	584.03	51.56	11.02
	599.02	54.31	630.03	54.34	31.00
	612.86	58.22	622.02	58.88	9.18
	521.93	63.52	543.00	63.99	21.07
	594.98	63.65	613.99	63.57	19.02
	617.03	64.36	623.07	64.57	6.04
	548.02	80.37	567.01	80.32	18.99
	628.00	75.86	634.01	75.66	6.02
	544.97	76.36	566.04	76.40	21.07
	577.97	76.07	616.98	76.25	39.01
	541.97	86.11	553.99	86.20	12.02
	604.02	88.63	634.00	88.99	29.99
	563.01	90.46	554.00	90.66	9.01
	575.94	132.88	561.99	133.13	13.96
	560.95	93.30	574.01	93.46	13.06
	527.00	99.16	547.04	98.64	20.04
	615.95	101.61	632.98	101.44	17.03
	553.00	104.53	587.07	102.56	34.13
	537.00	106.94	546.98	106.68	9.98
	588.91	128.33	634.00	128.42	45.09
	624.00	104.87	631.99	105.28	8.00
	524.00	114.16	587.00	113.99	63.00
	614.02	117.80	631.97	117.13	17.96
	611.00	114.24	633.99	114.23	22.99
	524.04	117.24	586.06	117.68	62.02
	599.00	117.35	606.02	117.61	7.02
	518.97	128.72	541.00	128.07	22.04
	558.04	129.45	576.00	128.71	17.97
	520.07	133.42	548.99	132.34	28.94
	589.01	132.68	633.99	132.76	44.98
	550.01	149.64	492.00	148.94	58.01
	599.99	136.68	606.04	136.67	6.05
	507.01	137.94	528.00	137.01	21.01
	537.01	137.67	543.04	137.28	6.04
	512.06	141.23	521.95	141.67	9.91
	507.99	145.38	538.96	145.49	30.97
	569.02	145.08	594.79	146.33	25.80
	568.00	148.65	626.13	150.29	58.15
	626.03	155.93	632.11	155.56	6.09
	536.98	158.43	634.01	159.39	97.03
	482.01	158.82	520.00	158.94	37.99
	474.00	163.93	515.00	163.57	41.00
	535.00	163.36	634.00	163.87	99.00
	548.01	166.30	523.00	166.94	25.02
	516.06	173.92	583.02	176.49	67.01
	458.92	172.64	464.04	172.50	5.12
	486.99	175.96	499.03	175.77	12.04
	622.98	176.51	634.01	175.77	11.06
	586.12	178.67	615.98	178.34	29.86
	428.00	180.01	439.02	179.87	11.02
	481.01	198.89	526.02	198.56	45.01
	441.97	178.92	470.87	178.51	28.90
	493.21	179.85	535.00	178.99	41.80
	552.00	180.02	581.98	179.86	29.97
	527.99	184.13	546.99	184.71	19.00
	584.01	184.28	598.02	183.92	14.01
	514.91	187.34	547.00	188.52	32.11
	615.00	187.98	634.01	188.85	19.03
	526.04	194.42	568.89	192.82	42.88
	577.00	193.09	619.07	193.16	42.07
	419.94	194.33	461.01	192.65	41.10
	474.94	193.55	516.01	192.85	41.08
	385.00	193.56	403.05	194.61	18.08
	363.00	198.98	391.05	199.72	28.05
	539.03	198.37	634.00	198.01	94.97
	463.11	214.17	507.02	212.78	43.92
