vx	vy	vz	score	numLines
-0.99854422	-0.05393907	-0.00012317	5759.96	341
0.66421113	-0.74753867	0.00308463	5193.55	298
-0.58941711	0.80782823	0.00101306	956.11	53

nLines	x1	y1	x2	y2	length
341
	22.01	7.08	16.90	6.69	5.12
	4.06	7.59	164.98	18.39	161.29
	137.99	8.20	165.02	9.27	27.05
	9.01	15.47	3.98	15.17	5.03
	34.98	18.50	29.98	18.22	5.01
	12.01	15.95	18.00	16.44	6.01
	20.99	17.09	27.06	17.15	6.07
	4.00	18.52	164.01	28.15	160.30
	64.89	20.42	71.09	20.76	6.21
	13.04	26.71	7.00	26.22	6.06
	22.00	27.52	16.01	26.95	6.02
	40.00	28.99	34.16	28.48	5.86
	58.99	29.98	52.02	29.95	6.98
	4.02	29.48	161.99	38.54	158.23
	44.01	29.30	49.97	29.33	5.96
	62.02	30.61	68.10	30.65	6.09
	70.09	30.79	77.01	31.05	6.93
	80.03	31.82	95.05	32.15	15.02
	98.07	32.75	112.00	33.24	13.94
	123.98	34.11	138.98	34.64	15.01
	152.00	35.33	162.96	35.26	10.97
	31.02	50.67	25.00	50.02	6.05
	5.06	48.69	12.02	49.13	6.97
	139.98	48.90	146.00	49.03	6.02
	147.96	48.86	160.01	49.09	12.04
	34.03	50.90	40.99	50.98	6.97
	72.18	52.48	79.02	53.19	6.87
	4.02	52.88	158.98	60.68	155.16
	80.94	54.22	98.01	54.11	17.08
	119.05	54.83	135.92	54.83	16.88
	138.19	55.50	145.04	55.55	6.85
	16.91	61.22	10.00	61.05	6.92
	147.98	56.25	159.00	56.57	11.02
	26.01	62.12	19.10	61.66	6.93
	65.96	63.91	59.02	63.86	6.95
	28.01	62.93	35.98	62.77	7.97
	132.99	67.19	107.00	66.01	26.02
	38.99	63.02	46.00	63.37	7.02
	48.02	63.93	55.98	63.88	7.96
	3.96	65.36	155.98	72.22	152.17
	78.04	64.81	85.05	65.24	7.02
	97.06	65.79	105.00	66.03	7.95
	135.00	67.86	154.00	67.97	18.99
	20.99	74.36	14.00	74.06	6.99
	41.00	75.57	33.18	75.37	7.83
	51.00	76.03	44.04	75.67	6.97
	24.03	74.61	31.00	75.04	6.99
	53.17	76.39	61.00	76.62	7.83
	3.98	78.24	153.00	84.72	149.17
	84.13	77.53	91.98	77.79	7.85
