vx	vy	vz	score	numLines
0.99998172	-0.00604587	0.00000549	3219.69	154
-0.05485168	0.99849450	-0.00014297	1808.85	161
0.34605622	0.93821348	0.00074954	200.99	66

nLines	x1	y1	x2	y2	length
154
	535.02	6.59	570.06	6.66	35.04
	587.97	6.23	621.98	6.53	34.01
	329.03	8.20	364.01	7.82	34.98
	375.97	8.23	415.03	7.61	39.07
	278.04	8.40	312.84	8.54	34.80
	388.92	23.20	405.01	22.37	16.11
	336.84	23.16	353.00	22.93	16.16
	287.11	12.34	304.01	11.80	16.91
	596.99	21.49	612.97	21.33	15.98
	544.18	21.64	559.98	21.89	15.79
	287.04	23.55	303.02	23.08	15.99
	558.10	24.41	548.97	24.88	9.14
	615.99	24.09	622.02	24.02	6.03
	596.00	24.93	604.00	25.00	8.00
	341.02	25.69	352.84	25.67	11.82
	518.99	29.90	577.03	30.93	58.04
	374.01	31.15	419.98	29.91	45.99
	581.95	30.44	630.89	30.31	48.94
	227.81	30.22	249.10	31.35	21.32
	278.93	30.67	305.76	29.75	26.84
	322.01	30.92	360.02	31.14	38.00
	547.06	32.82	553.03	32.78	5.98
	588.02	38.73	622.93	38.46	34.92
	381.00	40.21	415.96	40.18	34.95
	537.00	39.19	570.97	39.67	33.98
	277.93	41.33	311.91	40.50	33.99
	328.99	40.89	363.05	40.27	34.07
	380.05	57.97	387.03	57.79	6.97
	297.00	44.33	303.00	44.24	5.99
	560.06	54.69	545.00	54.39	15.06
	243.95	46.82	250.97	46.34	7.04
	350.97	58.35	365.90	58.74	14.93
	559.06	57.50	552.00	57.99	7.08
	538.13	58.80	544.88	58.66	6.75
	552.97	62.42	529.96	62.32	23.01
	560.12	62.34	576.99	62.02	16.87
	580.99	62.03	634.00	62.11	53.01
	322.99	63.46	342.93	64.57	19.97
	347.00	64.00	370.13	63.67	23.13
	373.01	63.95	415.99	63.32	42.98
	238.00	64.96	244.99	64.61	7.00
	295.80	64.42	309.21	64.46	13.41
	247.99	65.13	267.18	65.30	19.19
	589.00	72.05	624.00	71.78	35.00
	380.98	73.51	415.01	72.78	34.04
	537.01	72.05	572.04	72.38	35.02
	277.93	74.28	311.99	73.72	34.07
	329.01	73.23	364.02	73.50	35.01
	599.05	86.95	614.96	87.51	15.91
	560.99	87.92	546.03	87.82	14.96
	344.92	89.01	354.08	88.76	9.17
	285.00	89.36	302.95	89.49	17.94
	589.99	90.06	597.96	89.70	7.98
	532.03	93.69	538.72	93.70	6.68
	582.99	96.53	633.92	95.27	50.95
	249.62	96.48	261.36	96.36	11.74
	262.04	96.78	317.03	95.89	55.00
	323.01	97.04	370.06	96.43	47.05
	521.00	95.98	526.95	95.83	5.95
	551.92	96.30	578.35	97.58	26.46
	225.90	98.60	249.02	96.94	23.19
	384.08	96.92	404.02	97.12	19.94
	407.01	96.97	418.98	97.24	11.98
	530.98	97.06	541.10	96.67	10.13
	538.05	105.53	572.00	105.40	33.95
	589.97	105.41	624.99	105.23	35.03
	328.94	107.24	362.94	106.67	34.00
	380.98	106.41	416.72	105.52	35.75
	276.98	107.95	310.98	106.92	34.02
	547.01	121.40	564.67	120.66	17.68
	599.00	121.00	617.95	120.85	18.95
	284.01	122.39	301.01	123.11	17.02
	545.97	123.27	535.07	123.91	10.91
	531.00	130.01	549.99	128.81	19.03
	593.97	129.42	634.01	129.03	40.04
	516.99	130.05	525.02	130.06	8.03
	591.06	138.71	626.99	139.10	35.93
	538.16	139.51	573.80	139.54	35.64
	617.91	154.29	599.15	155.42	18.80
	552.98	155.70	563.00	155.00	10.04
	592.96	156.71	597.99	156.72	5.02
	560.05	161.90	595.99	162.76	35.95
	603.98	162.93	624.05	162.90	20.07
	592.04	172.79	627.98	172.39	35.94
	618.02	188.00	601.04	188.84	17.00
	604.92	191.39	627.25	191.50	22.34
	382.00	197.00	401.00	198.04	19.03
	600.31	197.41	634.00	197.23	33.69
	346.92	198.73	369.99	197.97	23.09
	264.69	232.78	222.99	234.59	41.74
	242.99	205.01	252.98	205.62	10.00
	380.26	209.41	404.02	208.83	23.77
	282.34	209.39	310.00	208.97	27.66
	328.00	209.58	363.01	208.84	35.02
	283.94	224.62	299.98	224.09	16.05
	339.00	224.92	353.00	223.97	14.04
	390.00	224.06	402.99	224.31	12.99
	284.06	226.58	311.00	227.00	26.95
	319.89	232.56	340.20	232.65	20.31
	342.20	232.32	370.94	232.95	28.75
	373.11	232.13	403.00	233.48	29.92
	379.99	243.52	404.98	242.46	25.01
	273.99	243.58	309.96	243.51	35.97
	327.06	243.80	363.00	243.20	35.94
	336.03	259.52	341.97	259.57	5.95
	346.94	259.32	352.98	259.30	6.04
	515.97	260.86	523.06	260.78	7.09
	266.01	267.59	285.12	266.35	19.16
	562.88	266.38	513.00	267.99	49.90
	222.99	267.92	264.04	268.59	41.05
	386.12	267.33	326.07	268.30	60.05
	388.97	267.25	403.99	267.48	15.02
	283.94	267.65	301.45	267.53	17.51
	371.69	302.96	404.00	302.50	32.31
	284.97	277.29	308.99	278.22	24.03
	541.05	277.59	570.99	277.77	29.94
	327.00	278.14	362.92	278.36	35.92
	380.02	278.14	405.04	278.47	25.02
	255.02	283.92	260.09	284.13	5.07
	572.05	296.27	555.98	295.72	16.08
	328.01	297.16	362.00	297.04	33.99
	222.16	303.47	246.97	302.29	24.84
	329.96	302.28	369.01	303.06	39.05
	518.13	302.78	587.96	302.14	69.83
	331.02	313.12	361.93	313.53	30.91
	379.05	313.59	405.99	313.86	26.94
	503.96	313.74	524.60	313.46	20.65
	542.00	312.79	571.00	312.96	28.99
	502.98	331.75	516.77	332.29	13.80
	544.91	331.58	569.00	331.96	24.10
	335.00	332.03	363.02	332.96	28.04
	391.00	331.54	397.02	331.79	6.02
	525.88	338.44	560.00	338.95	34.12
	335.02	338.86	369.01	338.88	34.00
	372.96	337.80	388.06	338.60	15.12
	222.00	339.26	240.01	338.58	18.02
	500.98	349.20	524.93	348.76	23.95
	542.02	348.54	551.03	348.18	9.01
	335.02	349.73	362.00	349.01	26.99
	379.07	349.17	402.04	349.74	22.97
	219.90	375.29	242.99	374.91	23.10
	626.99	404.20	633.93	404.26	6.94
	247.08	408.82	219.92	410.66	27.22
	589.86	410.61	633.90	410.69	44.04
	571.97	421.61	580.96	421.56	8.99
	598.21	421.54	633.98	420.80	35.78
	600.01	437.00	605.05	437.19	5.04
	591.91	446.62	624.99	447.14	33.09
	557.98	440.52	570.97	439.88	13.01
	619.09	439.35	634.00	440.05	14.93
	218.91	447.40	248.98	447.10	30.07
	556.97	448.10	588.84	449.46	31.89
	554.04	458.65	582.00	457.98	27.96
	600.02	457.60	633.99	457.87	33.97
161
	270.03	4.00	268.88	51.98	47.99
	320.68	4.01	319.84	128.01	124.00
	372.33	3.97	372.39	18.06	14.09
	423.73	3.95	423.60	21.90	17.95
	526.92	4.00	527.00	28.00	24.00
	578.79	4.01	578.90	35.98	31.96
	630.30	4.08	631.23	28.04	23.98
	262.61	8.46	262.74	16.94	8.48
	328.70	9.10	328.87	25.00	15.90
	511.71	8.95	511.60	16.02	7.07
	542.34	8.97	543.32	21.05	12.12
	387.78	10.06	388.13	21.94	11.89
	336.42	11.05	336.61	22.15	11.10
	306.87	22.02	307.02	13.01	9.02
	416.32	12.22	416.25	20.09	7.86
	286.06	13.00	285.25	23.02	10.05
	312.96	13.02	312.36	21.00	8.00
	536.34	12.95	536.98	20.99	8.06
	552.29	12.96	552.14	17.98	5.02
	586.74	12.99	587.18	24.86	11.88
	390.87	15.03	390.85	21.06	6.03
	228.95	16.02	229.27	22.96	6.95
	371.97	21.01	372.29	62.89	41.89
	227.22	44.97	227.85	34.86	10.14
	631.09	37.98	632.57	58.95	21.02
	277.45	55.84	277.39	42.33	13.51
	543.23	41.97	544.26	53.94	12.02
	579.50	41.97	580.12	48.99	7.05
	379.26	43.02	380.21	56.93	13.94
	550.06	44.00	550.32	53.09	9.09
	560.70	44.00	560.82	53.88	9.88
	295.54	45.00	295.06	55.00	10.02
	304.56	45.00	304.34	55.00	9.99
	328.69	45.02	329.08	55.97	10.95
	621.88	45.00	622.13	52.93	7.94
	357.60	45.94	357.59	50.95	5.01
	536.41	45.93	536.57	51.28	5.35
	268.02	65.99	267.71	94.03	28.04
	527.65	64.95	527.89	84.95	20.00
	372.05	65.99	371.71	115.99	50.00
	380.84	88.05	380.25	74.40	13.66
	277.56	88.75	277.22	75.20	13.55
	225.72	74.99	225.49	80.04	5.05
	327.29	75.04	327.82	88.92	13.90
	537.83	75.04	537.93	84.00	8.97
	543.68	75.04	543.62	87.05	12.01
	284.09	76.00	283.11	87.98	12.02
	344.57	77.09	344.86	88.00	10.92
	394.03	78.00	394.62	87.97	10.00
	402.13	78.04	401.85	87.98	9.95
	572.75	78.03	573.08	87.02	8.99
	311.62	79.03	311.39	86.98	7.95
	347.52	79.00	347.38	86.92	7.92
	356.04	79.01	355.64	87.96	8.96
	363.51	79.07	363.77	85.98	6.91
	415.96	81.99	415.88	86.99	5.00
	580.67	109.94	582.62	130.64	20.80
	266.97	100.00	267.41	117.98	17.98
	328.34	120.95	328.11	108.18	12.77
	618.18	108.05	617.94	119.02	10.97
	276.33	109.10	276.87	121.77	12.68
	303.52	111.00	302.79	121.72	10.74
	573.65	111.03	573.67	117.99	6.96
	620.62	110.96	621.11	120.09	9.15
	311.33	112.03	311.02	121.01	8.99
	344.09	112.01	344.08	117.97	5.96
	362.97	111.99	363.13	119.00	7.01
	598.25	140.93	599.27	153.03	12.15
	618.72	140.88	618.71	152.99	12.11
	545.97	144.00	546.10	150.00	6.00
	563.28	143.95	563.42	153.92	9.97
	590.37	144.15	591.08	154.99	10.86
	626.90	144.06	627.31	155.93	11.88
	574.07	144.97	575.03	154.99	10.06
	599.00	176.00	600.17	187.98	12.04
	617.62	176.55	618.06	187.00	10.46
	592.46	178.19	592.68	187.95	9.76
	627.62	179.09	627.79	187.92	8.83
	372.17	190.98	372.11	198.00	7.02
	372.62	199.97	371.84	231.97	32.01
	318.11	202.01	317.89	230.02	28.01
	265.92	204.00	265.06	232.02	28.03
	274.79	223.90	274.66	211.02	12.89
	281.35	210.97	281.07	223.01	12.05
	327.40	211.04	328.13	223.90	12.88
	334.75	210.92	334.02	223.01	12.11
	355.24	211.00	354.79	223.89	12.89
	380.45	211.01	380.67	222.96	11.96
	309.66	212.04	309.24	223.03	11.01
	362.73	212.03	362.72	221.98	9.96
	387.18	211.97	386.59	222.82	10.87
	628.48	212.10	629.01	222.00	9.91
	400.88	212.98	400.75	222.04	9.06
	222.32	222.07	222.09	233.98	11.92
	317.67	232.80	317.56	264.95	32.15
	264.49	234.95	264.93	266.01	31.05
	371.69	235.01	371.92	266.04	31.03
	221.89	235.95	221.92	245.98	10.03
	530.76	240.06	531.84	254.00	13.98
	380.32	258.06	380.45	245.16	12.90
	327.07	257.99	326.70	244.77	13.23
	273.40	245.10	273.74	258.06	12.96
	280.52	256.99	280.94	246.01	10.98
	304.21	247.10	304.28	256.03	8.92
	309.51	247.10	309.15	257.02	9.93
	334.64	246.97	333.92	257.98	11.04
	344.68	246.99	344.25	259.01	12.04
	356.55	258.29	355.92	246.98	11.33
	385.92	248.02	386.36	257.80	9.79
	522.51	248.01	522.29	255.95	7.94
	541.15	247.99	541.05	255.99	8.00
	221.07	249.01	215.87	473.99	225.04
	317.34	268.87	317.94	283.00	14.14
	264.16	269.97	264.06	285.99	16.01
	371.26	270.98	371.41	302.11	31.13
	531.29	271.73	532.08	287.01	15.30
	380.01	280.01	379.66	294.05	14.05
	356.58	291.99	356.13	285.01	7.00
	387.08	281.99	386.96	291.99	10.00
	523.70	282.06	523.32	291.95	9.90
	541.88	281.98	541.70	291.02	9.04
	547.81	282.02	547.63	292.88	10.86
	570.17	282.00	570.18	293.99	11.99
	362.30	282.99	362.15	292.02	9.03
	401.89	283.99	402.05	293.03	9.04
	556.98	284.01	556.90	291.97	7.97
	576.87	286.99	577.10	292.02	5.04
	531.52	290.00	532.41	301.02	11.06
	371.23	303.96	371.10	364.01	60.05
	523.43	317.15	524.01	327.00	9.87
	542.41	317.08	542.30	327.00	9.92
	518.05	318.00	518.00	327.00	9.00
	548.09	317.99	548.23	327.02	9.03
	572.71	317.98	572.87	324.98	7.00
	356.60	319.00	356.63	327.01	8.01
	401.90	318.98	401.79	328.99	10.01
	506.62	320.00	506.25	328.03	8.04
	334.44	321.85	334.56	327.08	5.24
	378.92	350.99	379.83	365.03	14.07
	361.97	354.00	361.44	363.97	9.99
	396.88	353.99	396.91	361.99	8.00
	343.30	354.99	343.23	363.99	9.00
	348.01	355.00	347.34	364.98	10.00
	626.94	389.00	627.80	400.06	11.10
	634.05	389.00	634.62	397.98	9.01
	617.27	393.99	617.63	400.92	6.94
	589.76	413.91	589.86	419.97	6.07
	573.73	426.00	573.60	431.02	5.02
	580.46	425.99	580.93	435.00	9.02
	598.84	426.00	599.52	436.00	10.03
	627.84	425.99	627.55	438.00	12.01
	370.39	428.05	370.49	471.02	42.96
	590.03	427.98	590.98	446.01	18.05
	361.23	430.01	361.26	436.06	6.06
	590.00	450.00	590.98	474.01	24.03
	187.95	461.00	187.26	473.91	12.93
	572.30	462.18	572.74	473.96	11.78
	630.21	462.04	629.96	472.00	9.97
	600.24	463.01	600.74	473.91	10.91
	605.01	464.00	605.67	471.97	8.00
	553.90	467.99	554.18	473.97	5.99
66
	372.33	3.97	372.39	18.06	14.09
	423.73	3.95	423.60	21.90	17.95
	526.92	4.00	527.00	28.00	24.00
	379.53	8.91	380.87	19.98	11.15
	511.71	8.95	511.60	16.02	7.07
	615.12	9.01	613.77	19.06	10.13
	387.78	10.06	388.13	21.94	11.89
	416.32	12.22	416.25	20.09	7.86
	552.29	12.96	552.14	17.98	5.02
