vx	vy	vz	score	numLines
0.71583495	0.69826848	0.00120368	2944.70	170
0.93857970	-0.34506202	-0.00059626	2640.36	215
-0.21027921	0.97764112	-0.00070352	2347.22	184

nLines	x1	y1	x2	y2	length
170
	191.88	4.07	195.14	9.18	6.06
	515.49	5.08	517.34	14.96	10.05
	157.00	11.00	160.76	16.35	6.54
	489.84	15.99	492.17	27.00	11.26
	177.68	16.02	181.15	21.05	6.11
	489.22	26.04	490.46	30.90	5.01
	222.35	34.09	225.55	39.18	6.01
	594.19	34.86	593.93	40.07	5.21
	3.86	46.11	31.49	71.01	37.19
	82.54	46.48	89.70	53.58	10.08
	344.09	49.03	346.44	54.15	5.63
	4.00	53.00	111.68	149.40	144.53
	6.05	57.99	49.05	95.92	57.34
	9.63	70.01	42.86	99.12	44.18
	71.97	60.17	99.27	86.66	38.05
	142.97	75.15	196.15	134.67	79.82
	71.61	65.94	75.86	70.11	5.97
	75.77	71.44	87.81	82.16	16.13
	36.09	73.90	41.97	79.50	8.12
	535.93	74.43	536.78	79.92	5.55
	10.97	77.77	35.85	99.22	32.85
	79.46	80.41	110.46	110.62	43.29
	142.05	81.94	190.90	136.10	72.94
	12.29	83.56	32.91	102.11	27.74
	88.08	83.90	97.19	91.74	12.02
	187.09	88.50	191.93	95.09	8.18
	56.96	93.03	61.99	97.13	6.49
	99.35	94.84	104.87	99.89	7.48
	55.58	110.01	83.88	135.11	37.82
	52.01	99.00	89.08	131.81	49.51
	72.02	101.91	75.89	105.13	5.04
	74.89	109.67	113.91	145.10	52.71
	92.80	114.26	96.92	118.15	5.66
	56.91	117.10	77.17	134.74	26.86
	146.25	116.78	154.54	125.48	12.02
	39.67	124.90	46.96	131.04	9.54
	103.06	125.98	107.45	129.64	5.71
	618.53	123.02	618.44	133.00	9.98
	60.05	124.92	75.00	138.00	19.86
	94.99	145.00	111.01	158.77	21.12
	91.99	135.01	112.38	152.04	26.57
	38.73	146.00	45.94	152.03	9.40
	42.98	140.52	51.99	148.01	11.71
	4.13	149.30	10.00	153.50	7.22
	618.48	149.01	618.14	170.97	21.96
	96.02	150.98	103.34	156.64	9.26
	3.79	153.82	33.07	174.38	35.77
	174.93	154.45	198.01	177.99	32.97
	18.40	159.42	32.15	168.73	16.61
	36.60	165.46	41.91	169.20	6.49
	5.95	166.61	100.06	232.86	115.10
	126.90	229.23	141.10	239.86	17.73
	3.92	177.12	41.86	203.19	46.04
	36.93	178.63	75.95	205.54	47.40
	3.99	188.53	95.93	250.64	110.95
	123.00	248.01	140.37	259.42	20.78
	65.01	193.50	76.21	200.68	13.31
	3.87	195.70	15.09	202.94	13.35
	314.19	195.87	318.03	201.55	6.86
	138.79	199.31	143.74	203.18	6.28
	248.47	199.47	264.50	216.97	23.73
	128.03	201.23	142.12	212.88	18.28
	64.04	201.93	68.00	205.00	5.01
	158.16	202.71	162.19	205.85	5.11
	15.00	206.00	62.59	235.11	55.79
	77.08	207.87	99.97	224.04	28.02
	128.05	220.71	141.28	230.67	16.56
	517.17	207.96	518.30	215.72	7.85
	250.80	211.18	263.00	224.00	17.70
	54.96	211.55	90.25	235.79	42.81
	129.22	212.74	142.45	224.02	17.38
	149.68	214.30	161.80	224.94	16.13
	174.41	215.54	188.07	228.92	19.13
	177.96	215.61	198.27	232.75	26.57
	19.98	217.03	32.72	224.48	14.76
	128.01	216.98	140.92	227.08	16.39
	255.51	229.02	261.43	235.50	8.78
	25.21	227.78	29.99	231.06	5.80
	170.06	223.94	176.87	230.13	9.21
	326.50	224.04	329.94	228.01	5.25
	247.98	230.01	262.69	244.17	20.41
	76.53	229.50	95.93	243.08	23.68
	247.11	236.96	262.02	250.98	20.47
	62.83	237.46	88.82	254.29	30.96
	162.03	237.84	182.75	254.26	26.43
	247.11	244.93	253.47	251.52	9.16
	13.90	244.12	23.04	248.90	10.32
	66.71	247.43	80.18	255.90	15.92
	10.02	247.92	32.73	261.23	26.33
	130.69	247.92	136.99	252.98	8.08
	247.45	253.46	262.05	266.33	19.46
	122.83	252.03	131.84	258.21	10.93
	138.73	252.13	143.17	255.78	5.75
	254.64	251.93	262.23	258.69	10.16
	121.14	255.29	129.56	260.49	9.89
	247.47	261.42	262.20	275.41	20.32
	158.97	257.22	171.08	265.91	14.91
	10.74	259.37	27.70	268.28	19.15
	157.97	261.61	165.62	267.40	9.60
	174.85	262.44	186.65	270.43	14.26
	10.06	263.89	19.07	268.90	10.30
	246.50	268.11	261.00	281.43	19.69
	122.73	269.43	128.01	272.43	6.08
	202.08	269.40	217.96	282.05	20.30
	297.26	270.93	300.91	274.76	5.29
	170.07	277.92	184.42	287.67	17.35
	121.00	274.00	126.97	278.09	7.23
	59.97	277.71	74.92	285.54	16.87
