vx	vy	vz	score	numLines
0.00610815	0.99998135	0.00001340	2835.70	72
0.99999864	0.00165079	-0.00000294	1494.85	46
-0.19403172	0.98098833	-0.00368522	265.27	36

nLines	x1	y1	x2	y2	length
72
	272.06	4.00	271.90	9.02	5.03
	404.01	4.00	404.32	10.98	6.99
	627.91	4.01	627.99	13.00	8.99
	622.20	16.33	622.44	36.85	20.52
	161.56	14.97	161.49	56.04	41.07
	143.56	18.05	145.38	163.89	145.85
	271.05	19.97	271.10	27.13	7.16
	593.58	34.99	593.57	59.01	24.02
	13.12	36.09	13.35	55.06	18.98
	92.62	37.00	90.62	96.69	59.72
	155.29	36.99	155.51	44.00	7.02
	604.93	229.01	606.95	41.00	188.02
	28.04	38.00	27.97	45.98	7.98
	201.05	38.84	200.78	44.56	5.73
	622.44	40.52	623.55	264.99	224.47
	136.25	41.97	136.31	334.10	292.13
	60.46	52.00	61.76	69.96	18.01
	155.39	53.02	155.25	59.00	5.98
	6.97	58.00	7.74	72.08	14.10
	629.16	57.99	629.21	63.00	5.01
	155.33	63.00	155.73	75.97	12.98
	592.67	90.01	591.78	108.98	18.99
	208.00	71.00	208.35	76.93	5.94
	629.07	76.99	628.82	88.99	12.00
	26.26	79.02	26.29	86.02	7.00
	3.62	83.15	5.58	149.03	65.91
	15.60	307.00	13.32	92.01	215.00
	23.67	97.99	24.48	314.10	216.12
	202.13	88.06	201.04	120.00	31.96
	210.98	143.00	211.15	88.99	54.01
	28.28	90.00	28.12	138.00	48.00
	470.89	93.26	471.22	105.01	11.75
	628.67	93.03	628.83	103.01	9.99
	161.53	93.99	161.14	105.27	11.29
	92.69	113.02	95.38	260.04	147.05
	82.24	113.01	82.84	257.00	143.99
	629.21	104.99	629.01	112.00	7.01
	161.02	106.01	160.84	124.98	18.98
	590.56	114.01	592.16	143.99	30.03
	628.57	131.01	628.84	138.00	7.00
	208.73	156.15	208.34	162.33	6.19
	150.74	160.14	148.62	231.99	71.88
	150.79	235.01	151.79	287.03	52.04
	150.08	291.99	150.32	379.00	87.01
	6.04	166.00	6.89	306.00	140.01
	160.70	188.97	160.00	215.00	26.03
	27.70	191.04	28.80	215.99	24.97
	590.00	192.95	590.38	209.31	16.37
	590.32	215.07	590.45	223.24	8.17
	272.15	229.28	274.43	287.98	58.75
	265.08	231.00	266.00	286.00	55.01
	615.65	237.16	615.12	246.02	8.88
	161.76	292.01	159.72	249.00	43.06
	30.03	250.00	30.00	261.00	11.00
	289.98	254.04	290.00	261.35	7.30
