vx	vy	vz	score	numLines
0.94077206	-0.33903927	0.00055353	4541.95	234
0.46870768	0.88335180	-0.00164821	3463.69	228
0.78017174	-0.62556532	-0.00030001	422.61	141

nLines	x1	y1	x2	y2	length
234
	225.04	29.06	267.31	9.17	46.72
	296.99	33.16	337.02	16.04	43.54
	306.02	11.04	324.04	3.73	19.45
	372.97	17.82	403.73	3.57	33.90
	445.95	3.80	431.14	11.19	16.55
	498.04	19.89	531.11	4.69	36.39
	522.17	7.26	528.03	4.15	6.64
	606.52	11.01	617.85	3.73	13.46
	179.03	15.05	204.34	5.58	27.03
	218.02	14.08	235.98	6.97	19.32
	582.03	20.06	572.96	24.93	10.29
	467.21	13.27	473.01	10.44	6.45
	467.54	16.61	481.04	10.62	14.77
	285.35	20.59	301.74	13.63	17.81
	428.06	33.06	461.20	16.03	37.25
	546.04	16.32	532.78	23.76	15.21
	536.64	25.00	549.84	17.79	15.04
	371.67	19.29	355.09	26.28	17.99
	258.82	31.76	239.02	40.48	21.63
	617.98	23.96	605.27	32.31	15.21
	191.03	26.07	142.99	46.98	52.40
	533.05	26.06	500.60	44.06	37.11
	224.07	29.14	206.95	35.69	18.32
	471.73	35.49	478.83	31.83	7.99
	610.06	33.45	576.82	50.64	37.42
	293.99	33.99	277.11	42.77	19.03
	288.90	55.36	330.99	37.98	45.54
	547.91	38.24	523.05	53.10	28.96
	514.80	58.72	505.01	64.01	11.13
	498.95	41.99	504.01	39.25	5.75
	541.03	47.05	554.98	39.53	15.85
	193.58	61.48	238.06	41.68	48.69
	625.92	44.94	614.05	52.65	14.16
	630.22	47.24	617.26	55.23	15.23
	323.84	60.91	306.56	70.65	19.85
	170.92	52.87	160.01	57.02	11.67
	250.61	52.97	204.78	77.62	52.04
	460.00	63.00	475.85	53.73	18.36
	465.10	63.69	480.00	55.86	16.84
	128.95	71.48	160.28	58.03	34.09
	267.02	67.05	289.05	57.71	23.92
	528.35	77.29	554.08	62.39	29.73
	542.01	73.01	556.80	63.80	17.42
	344.82	74.77	363.96	66.54	20.83
	582.98	75.94	591.51	70.57	10.08
	386.96	78.91	400.88	71.82	15.62
	159.06	77.13	167.85	73.29	9.60
	621.27	81.24	633.90	73.84	14.64
	614.41	81.98	624.26	75.56	11.76
	465.92	87.85	479.09	81.10	14.79
	585.08	105.05	619.04	83.68	40.12
	128.95	91.90	143.22	84.54	16.06
	231.16	85.31	195.91	103.35	39.59
	260.97	93.94	279.48	85.45	20.36
	442.02	99.43	461.28	88.68	22.06
	544.52	101.77	559.93	90.86	18.88
	458.96	92.48	421.90	112.26	42.01
	597.85	91.98	581.91	101.76	18.71
	546.97	93.95	522.03	109.08	29.17
	341.10	101.08	353.02	94.12	13.80
	180.15	133.03	156.97	145.46	26.31
	387.10	101.37	371.06	110.06	18.25
	625.05	111.07	609.03	123.06	20.01
	606.99	119.98	634.04	101.08	33.00
	391.34	101.53	379.26	109.23	14.32
	540.98	102.38	505.04	124.07	41.98
	438.35	129.61	473.92	107.85	41.69
	218.76	116.54	232.17	109.73	15.03
	460.28	120.23	477.98	109.96	20.46
	369.12	111.36	354.09	120.14	17.40
	517.05	111.00	499.99	122.84	20.77
	336.86	132.21	371.09	113.68	38.92
	181.98	131.07	213.96	115.91	35.39
	522.95	140.80	558.85	117.78	42.64
	260.84	119.24	251.03	124.59	11.18
	310.04	120.07	304.91	122.69	5.76
	547.87	130.25	564.07	119.65	19.36
	416.10	146.17	458.00	121.99	48.37
	603.68	126.73	588.07	136.09	18.20
	591.24	131.20	600.95	123.94	12.12
	290.97	127.43	265.07	141.15	29.31
	374.47	141.20	390.03	131.58	18.29
	433.19	131.18	413.31	144.31	23.83
	542.02	133.02	504.71	157.17	44.44
	365.87	141.29	379.19	134.44	14.98
	634.03	135.04	620.20	146.15	17.74
	433.09	164.05	472.94	138.84	47.15
	460.60	152.06	477.90	140.83	20.62
	520.23	176.91	501.86	189.81	22.44
	199.56	150.58	216.74	142.54	18.96
	265.67	143.50	253.78	149.57	13.35
	359.92	148.85	325.02	169.02	40.31
	345.13	154.42	362.08	144.24	19.78
	518.05	144.18	512.23	148.17	7.05
	597.09	167.16	623.92	147.92	33.01
	186.86	158.23	193.95	154.85	7.86
	190.22	153.33	200.21	148.53	11.09
	510.04	149.14	500.98	154.94	10.76
	563.08	148.80	554.10	154.12	10.44
	282.13	163.10	303.77	150.85	24.87
	549.72	162.86	567.09	150.61	21.25
	343.15	154.11	321.02	167.07	25.65
	421.59	174.40	454.03	154.70	37.96
	553.07	155.67	525.94	173.91	32.68
	250.92	175.39	282.04	159.17	35.10
	388.96	162.91	369.02	175.04	23.33
	601.01	159.56	592.00	166.00	11.08
