vx	vy	vz	score	numLines
0.75581080	0.65454252	0.01800339	13698.03	618
-0.61268173	-0.79032974	0.00004327	4476.14	474
0.53418111	0.84536767	-0.00201353	1222.56	282

nLines	x1	y1	x2	y2	length
618
	100.65	3.36	85.86	11.80	17.03
	115.73	3.37	108.95	6.36	7.41
	164.11	3.39	117.01	16.11	48.78
	278.83	3.41	206.97	13.89	72.62
	372.90	3.48	338.90	8.57	34.38
	23.93	4.03	29.01	13.00	10.31
	69.52	4.49	64.76	9.80	7.13
	90.17	4.27	84.20	8.32	7.22
	132.01	4.02	120.97	8.42	11.89
	132.92	6.28	142.92	3.77	10.32
	171.01	6.98	184.91	3.70	14.29
	196.32	8.37	220.93	3.88	25.02
	355.08	10.65	410.90	3.55	56.27
	622.93	5.53	634.14	4.73	11.25
	582.04	9.21	606.00	9.32	23.96
	93.95	12.89	108.02	7.54	15.05
	336.05	8.24	319.10	9.42	16.99
	80.43	8.60	72.22	15.32	10.61
	94.73	9.46	84.77	14.60	11.21
	179.02	12.19	189.96	10.24	11.12
	271.02	14.37	313.99	10.13	43.18
	104.09	15.27	114.04	11.75	10.55
	346.97	13.89	371.05	10.59	24.31
	402.99	19.38	496.98	14.07	94.13
	133.11	20.44	175.36	12.44	43.01
	3.79	14.31	9.18	17.77	6.40
	182.07	18.07	197.07	15.13	15.29
	204.00	20.92	264.99	15.35	61.24
	79.07	39.36	86.02	39.91	6.97
	107.85	16.50	93.01	21.05	15.52
	499.00	28.97	445.96	28.03	53.06
	140.95	21.57	176.02	18.05	35.24
	350.96	20.82	277.98	24.85	73.09
	78.16	23.62	90.93	19.81	13.33
	262.97	25.24	275.96	24.19	13.03
	126.04	22.30	131.05	21.22	5.12
	237.93	26.21	261.97	25.63	24.05
	430.32	28.54	440.01	28.71	9.69
	454.00	24.06	448.93	24.13	5.07
	89.95	24.44	99.86	21.53	10.33
	184.14	23.55	198.01	21.55	14.01
	249.56	23.25	255.13	22.81	5.58
	106.00	23.00	95.97	24.87	10.20
	188.99	29.07	208.00	28.02	19.04
	168.99	30.05	184.99	29.39	16.01
	284.01	31.90	293.99	32.16	9.98
	502.03	28.90	534.98	29.97	32.97
	147.96	30.74	165.02	30.72	17.06
	89.01	33.31	113.05	31.71	24.09
	362.01	31.05	387.99	31.67	25.99
	488.97	30.75	499.01	30.76	10.04
	549.34	31.56	558.02	31.56	8.68
	562.04	31.34	621.15	32.70	59.12
	468.02	32.45	419.99	32.57	48.03
	356.01	35.99	305.03	36.81	50.99
	362.24	34.76	390.01	35.96	27.80
	401.00	50.73	372.01	49.75	29.01
	157.86	35.64	183.00	35.05	25.15
	190.97	35.63	210.00	34.90	19.04
	288.95	36.79	300.01	36.66	11.06
	462.07	35.52	469.95	35.72	7.89
	430.01	37.11	436.23	37.36	6.23
