vx	vy	vz	score	numLines
-0.67733026	-0.73567867	-0.00078270	7349.53	209
-0.63564391	0.77198173	-0.00101042	4350.27	184
-0.99999572	-0.00292466	-0.00000279	963.40	24

nLines	x1	y1	x2	y2	length
209
	143.02	8.55	187.85	67.13	73.77
	205.08	8.32	212.85	19.14	13.32
	270.06	8.38	280.18	24.88	19.36
	295.17	14.90	321.28	55.88	48.59
	332.65	29.96	320.86	10.08	23.12
	332.52	10.99	335.89	17.07	6.95
	368.05	8.41	375.56	22.99	16.40
	391.90	8.76	404.67	34.93	29.12
	342.33	18.02	363.29	55.07	42.56
	359.73	10.14	372.57	32.95	26.18
	380.87	23.04	399.31	58.06	39.57
	157.96	11.03	191.65	55.89	56.09
	202.36	10.71	208.92	19.06	10.62
	235.21	10.83	265.15	55.90	54.12
	268.12	10.92	276.78	23.85	15.56
	279.55	10.96	284.03	18.00	8.34
	327.96	11.03	333.10	19.94	10.29
	366.13	10.92	374.25	25.94	17.07
	397.59	10.66	406.03	28.99	20.18
	162.22	11.81	193.08	51.95	50.63
	238.88	12.08	244.39	21.28	10.72
	134.35	12.55	185.92	78.07	83.38
	228.63	15.95	263.20	66.96	61.62
	289.72	18.24	319.09	64.94	55.16
	223.93	21.06	259.93	71.79	62.21
	128.59	23.00	178.60	85.14	79.76
	154.75	130.96	99.15	67.71	84.22
	245.86	23.11	263.87	50.09	32.44
	411.60	25.13	426.68	57.15	35.39
	63.22	25.83	68.47	31.78	7.93
	95.92	26.66	100.08	31.01	6.01
	288.96	26.02	316.33	69.03	50.98
	340.39	26.04	362.78	66.92	46.61
	378.25	33.87	396.93	68.02	38.92
	127.33	27.12	132.53	33.49	8.23
	339.08	28.03	362.10	71.95	49.58
	220.99	31.01	256.48	81.93	62.07
	236.02	114.99	200.15	66.93	59.97
	380.56	32.00	392.44	56.28	27.03
	132.37	34.57	142.76	46.24	15.64
	220.51	34.92	252.03	80.98	55.81
	271.94	66.00	302.25	109.86	53.31
	287.16	36.20	314.94	79.02	51.04
	336.46	38.07	359.02	75.99	44.12
	287.22	39.94	311.67	77.90	45.15
	326.27	65.02	349.71	102.88	44.52
	375.85	40.02	394.60	74.95	39.65
	275.29	66.00	293.56	94.24	33.63
	368.96	65.01	387.21	96.89	36.73
	408.48	42.97	423.72	72.90	33.59
	30.71	46.34	37.96	54.03	10.57
	79.96	46.03	88.00	55.00	12.04
	403.04	64.99	419.89	96.01	35.31
	144.68	48.15	174.39	85.06	47.38
	393.61	57.20	397.38	64.29	8.03
	72.14	57.62	90.28	78.08	27.35
	430.51	63.06	439.58	81.96	20.96
	203.18	65.76	239.98	115.01	61.48
	64.96	67.03	74.30	76.87	13.57
	104.69	67.91	155.40	125.63	76.83
	195.00	77.00	236.20	129.90	67.05
	265.62	70.09	299.59	119.34	59.83
	365.71	70.24	386.28	105.13	40.51
	323.39	72.10	348.74	115.92	50.62
	401.48	72.15	404.48	77.28	5.94
	366.31	74.04	384.53	108.98	39.40
	432.73	74.14	436.92	82.04	8.94
	322.70	76.09	345.46	116.01	45.96
	401.31	75.83	411.36	94.81	21.48
	57.04	79.95	65.98	89.03	12.74
	92.69	79.90	149.03	142.99	84.59
	265.79	81.09	296.62	124.91	53.58
	427.61	81.11	441.29	107.11	29.38
	398.98	82.00	415.13	112.93	34.89
	191.24	83.93	234.62	140.41	71.22
	408.60	84.22	418.56	103.18	21.42
	440.72	84.15	444.16	91.17	7.82
	442.66	93.19	440.36	87.82	5.84
	355.09	112.00	366.64	130.93	22.17
	393.05	106.99	404.34	127.09	23.06
	423.05	102.98	434.89	125.06	25.06
	185.88	95.00	228.63	147.86	67.98
	364.79	86.93	372.85	100.45	15.75
	307.92	117.98	318.36	135.10	20.05
	84.99	89.03	146.64	155.55	90.70
	320.74	89.14	336.55	115.62	30.84
	262.02	90.00	295.12	138.04	58.34
	246.62	127.03	266.71	154.85	34.31
	321.47	92.85	327.34	101.74	10.66
	263.49	96.02	291.66	139.29	51.64
	412.39	96.82	417.17	105.94	10.30
	185.55	99.25	224.74	148.22	62.71
	78.08	101.94	136.79	164.36	85.69
	384.84	120.02	374.55	102.47	20.35
	328.39	103.74	335.26	114.82	13.03
	447.23	105.98	458.69	133.11	29.45
	75.41	106.67	133.72	166.39	83.46
	449.80	107.10	453.22	113.90	7.61
	421.61	112.80	427.53	124.98	13.55
	79.23	113.73	128.50	167.25	72.74
	390.15	118.94	395.49	128.00	10.51
	456.78	116.11	460.64	124.17	8.94
	393.19	117.19	400.80	129.25	14.26
	239.38	134.05	265.37	165.73	40.97
	152.66	146.94	205.86	206.10	79.56
	462.82	127.12	466.73	136.13	9.82
	306.61	129.98	311.95	137.04	8.85
	16.97	136.03	27.59	145.62	14.31
	467.67	138.16	578.30	354.10	242.62
	167.04	138.91	210.48	187.72	65.34
	163.16	139.91	208.13	191.91	68.75
	8.42	306.05	46.03	332.98	46.26
	239.13	145.90	274.20	189.85	56.23
	11.19	154.81	30.43	172.06	25.84
	47.32	156.65	104.11	210.87	78.52
	40.95	158.07	107.47	219.88	90.81
	236.98	158.01	271.47	200.51	54.73
	152.08	161.90	205.09	220.91	79.32
	235.71	161.89	260.43	194.04	40.56
	145.64	174.07	195.11	226.96	72.41
	221.03	200.00	229.22	210.21	13.09
	478.73	166.92	491.48	189.73	26.13
	32.02	172.98	168.06	298.94	185.40
	150.56	184.32	167.78	203.19	25.55
	22.86	185.23	90.90	245.11	90.64
	148.07	184.88	187.47	226.54	57.34
