vx	vy	vz	score	numLines
-0.05060433	0.99871873	-0.00031864	5174.33	748
0.96302354	-0.26941714	-0.00027276	4645.25	88
-0.72300061	0.69084695	0.00078490	2775.41	162

nLines	x1	y1	x2	y2	length
748
	267.82	3.97	267.81	10.11	6.14
	273.60	9.05	274.02	15.98	6.95
	304.33	13.97	304.93	21.00	7.06
	299.29	14.94	299.62	21.95	7.01
	293.66	17.04	293.89	22.98	5.95
	219.42	18.12	219.79	32.00	13.89
	288.44	17.98	288.75	26.02	8.04
	283.42	18.95	284.04	26.00	7.08
	319.99	25.00	319.72	19.92	5.09
	278.90	21.02	278.91	26.99	5.97
	272.93	22.02	273.45	28.09	6.09
	310.39	24.01	310.94	33.01	9.02
	262.63	25.04	263.12	30.26	5.24
	258.07	25.99	258.33	33.95	7.97
	305.25	25.95	305.09	33.00	7.05
	252.97	28.01	253.06	34.99	6.99
	247.75	29.04	248.02	36.00	6.96
	289.04	30.00	289.34	38.00	8.01
	293.95	30.00	294.18	35.96	5.97
	283.61	32.02	283.79	38.02	6.00
	233.00	33.00	233.31	38.97	5.98
	278.89	33.01	279.31	39.99	6.98
	273.76	34.03	273.92	41.00	6.97
	268.70	36.02	268.80	43.02	7.00
	311.62	36.42	311.55	45.02	8.60
	218.94	37.01	219.47	44.00	7.01
	263.86	37.01	263.95	43.00	5.99
	214.11	37.99	214.17	44.99	7.00
	258.92	38.00	258.65	46.07	8.08
	304.61	38.02	304.79	45.99	7.97
	294.85	41.03	295.24	47.01	5.98
	199.07	41.99	198.94	49.99	8.00
	194.45	42.99	194.67	50.04	7.06
	189.37	45.03	189.73	50.89	5.87
	184.99	46.00	185.19	52.03	6.03
	228.75	46.02	228.85	54.02	7.99
	179.66	47.04	180.06	53.00	5.97
	223.53	47.05	224.02	53.00	5.97
	311.37	46.87	312.41	58.08	11.26
	268.95	48.00	269.03	54.00	6.00
	331.52	47.85	331.87	54.00	6.16
	371.79	47.98	379.45	174.97	127.22
	170.75	49.00	170.52	55.96	6.96
	218.76	49.02	218.93	56.00	6.99
