vx	vy	vz	score	numLines
0.85493292	-0.51873737	0.00111065	6641.58	315
0.99988196	-0.01533540	-0.00094724	2546.04	122
-0.69374159	-0.72022393	-0.00031123	879.08	74

nLines	x1	y1	x2	y2	length
315
	42.00	42.00	3.95	67.42	45.77
	69.05	42.28	22.16	74.31	56.79
	3.97	59.96	27.90	43.80	28.88
	51.00	74.00	93.01	43.61	51.85
	79.19	76.27	114.98	47.97	45.62
	146.02	48.02	108.27	79.49	49.14
	141.10	81.24	176.65	49.63	47.57
	244.05	52.05	211.16	85.25	46.73
	14.16	74.82	52.06	46.63	47.24
	78.72	46.59	41.04	75.55	47.51
	272.89	49.86	237.95	87.37	51.26
	176.35	82.50	209.96	50.96	46.09
	68.01	78.38	106.02	47.56	48.94
	135.84	47.78	98.88	79.15	48.48
	285.00	51.00	251.41	86.43	48.82
	279.02	90.43	312.97	50.96	52.06
	166.92	48.90	130.92	80.33	47.79
	200.00	50.00	164.90	81.90	47.42
	293.16	90.31	324.89	51.88	49.83
	200.33	84.39	235.62	50.63	48.84
	115.03	56.04	120.90	51.86	7.20
	336.41	92.41	365.77	53.80	48.51
	354.25	52.86	323.01	92.01	50.09
	373.79	52.81	344.73	92.15	48.91
	225.80	53.97	218.02	62.02	11.19
	261.88	54.96	253.90	62.87	11.24
	302.42	54.80	294.56	64.45	12.44
	312.09	59.07	305.02	67.02	10.64
	381.35	60.26	352.53	99.01	48.29
	207.20	63.07	200.07	69.06	9.31
	12.10	71.64	22.06	63.62	12.79
	242.06	64.01	235.97	69.97	8.52
	262.25	68.26	266.37	63.54	6.26
	37.01	73.50	48.96	65.46	14.40
	280.91	65.01	275.16	71.84	8.94
	67.30	67.42	59.13	74.21	10.62
	249.80	66.84	244.97	71.98	7.06
	284.00	75.94	291.60	67.57	11.31
	321.50	68.05	316.07	74.15	8.16
	96.33	69.42	87.88	75.85	10.62
	123.09	78.12	130.91	70.88	10.65
	164.02	71.02	154.34	79.38	12.79
	259.20	71.18	245.78	85.82	19.86
	326.04	78.19	332.87	70.89	10.00
	189.15	82.16	196.58	74.46	10.69
	127.14	79.14	134.92	72.91	9.97
	194.30	73.32	185.86	81.84	11.99
	272.71	73.41	260.21	86.22	17.90
	160.21	81.26	169.01	74.01	11.40
	224.75	83.70	232.93	74.93	12.00
	220.90	83.90	229.49	75.55	11.98
	270.76	77.71	263.93	85.94	10.69
	240.21	79.17	234.02	85.02	8.52
	302.40	88.32	310.90	78.91	12.68
	309.96	87.96	314.70	82.66	7.12
	379.95	93.97	354.16	130.10	44.39
	3.89	98.88	18.01	87.55	18.10
	30.99	87.99	12.03	102.05	23.60
	45.83	89.30	24.68	106.59	27.33
	40.97	104.96	60.10	90.07	24.25
	53.99	109.99	76.81	90.72	29.87
	72.25	107.86	92.31	91.56	25.84
	109.03	93.05	85.63	112.58	30.48
	105.21	111.29	125.26	93.40	26.87
	143.23	95.35	120.67	115.57	30.29
	140.82	113.76	160.04	96.03	26.15
	361.54	104.00	355.93	112.95	10.56
	31.06	96.65	22.00	103.49	11.35
	358.57	97.38	352.98	104.99	9.43
	157.68	118.69	179.62	97.58	30.45
	178.09	117.10	196.36	99.33	25.48
	37.95	107.41	27.15	117.13	14.53
	218.95	120.94	236.79	101.87	26.12
	126.21	102.89	115.78	111.78	13.70
	260.06	103.10	246.97	116.97	19.07
	240.19	117.27	235.93	121.93	6.31
	82.04	111.21	90.44	103.50	11.40
	343.30	104.25	298.66	163.72	74.36
	384.36	104.22	352.90	151.02	56.39
	162.43	105.36	151.50	114.56	14.29
	280.05	105.04	262.25	125.24	26.93
	304.84	105.88	285.91	129.93	30.61
	198.93	107.96	187.97	117.97	14.85
	18.92	109.88	9.05	118.06	12.82
	239.47	110.79	229.04	121.04	14.62
	48.67	112.43	42.03	117.08	8.11
	67.58	113.17	58.85	120.23	11.23
	75.04	121.59	81.83	115.68	8.99
	197.16	122.11	202.54	116.57	7.72
	279.40	117.94	272.73	125.80	10.31
	78.81	152.83	116.70	118.53	51.11
	136.08	120.07	128.51	127.51	10.61
	239.94	125.96	245.57	119.60	8.50
	3.92	133.90	19.28	121.96	19.45
	278.29	126.25	282.21	121.21	6.39
	153.74	121.59	147.00	128.50	9.65
	37.11	123.20	11.18	144.18	33.36
	173.35	123.02	168.24	127.89	7.06
	29.15	143.20	51.87	124.89	29.18
	192.90	124.75	183.20	134.26	13.58
	43.88	148.88	70.97	125.86	35.55
	63.06	147.07	81.69	130.63	24.85
	17.49	133.50	8.16	141.24	12.12
	53.23	134.27	39.81	144.75	17.03
	99.18	152.22	118.94	133.94	26.92
	116.72	157.80	143.25	133.54	35.96
	159.00	136.00	137.27	157.32	30.44
	87.21	137.18	73.31	149.49	18.57
	123.65	140.86	109.91	152.91	18.28
	179.98	161.98	198.98	141.98	27.58
	197.02	164.02	203.75	156.77	9.90
	211.83	155.80	225.72	141.54	19.91
	162.27	143.95	147.64	157.65	20.04
	246.15	144.06	225.17	168.16	31.95
	367.19	144.06	362.58	150.85	8.20
	249.97	173.98	271.90	146.85	34.88
	24.04	149.02	10.43	159.58	17.23
	203.28	148.90	188.92	162.92	20.07
	40.88	150.62	3.94	182.93	49.07
	58.12	153.04	45.14	164.13	17.07
	166.78	152.76	157.52	162.55	13.48
	248.36	154.96	240.46	163.56	11.67
	74.09	157.09	65.00	166.00	12.73
	94.26	157.93	81.32	169.38	17.28
	177.87	157.68	172.93	163.34	7.51
	210.77	157.77	201.61	168.66	14.23
	241.23	170.19	248.35	161.30	11.39
	366.08	169.02	371.01	160.03	10.26
	347.13	161.07	332.39	183.94	27.21
	112.99	161.99	69.84	203.84	60.11
	133.00	163.00	120.28	174.23	16.97
	153.92	165.86	141.94	178.95	17.74
	247.31	170.37	251.14	166.20	5.66
	175.43	168.09	166.65	177.34	12.75
	14.02	190.02	37.94	168.94	31.88
	30.78	196.83	60.86	169.80	40.44
	196.93	171.88	186.22	185.43	17.26
	3.69	175.64	8.75	171.81	6.34
	50.96	196.95	77.06	173.04	35.40
	207.56	172.50	202.17	178.82	8.31
	170.44	174.56	164.53	180.38	8.30
	220.21	174.89	209.87	187.18	16.06
	245.98	178.97	242.14	183.12	5.65
	90.01	204.01	114.21	179.83	34.21
	108.15	207.17	119.96	194.96	16.99
	126.76	193.71	141.09	180.69	19.35
	133.28	211.28	157.31	185.91	34.94
	184.96	186.96	172.10	200.10	18.39
	163.43	200.40	150.39	214.37	19.11
	119.55	187.84	108.54	198.56	15.37
	207.18	189.36	180.87	219.87	40.28
	113.42	191.43	99.75	204.69	19.05
	316.04	191.02	255.60	280.65	108.11
	205.64	227.80	230.63	196.69	39.90
	158.41	195.50	142.26	212.29	23.30
	162.06	195.03	149.59	207.62	17.71
	8.51	196.49	3.71	200.66	6.35
	125.81	195.80	110.80	210.87	21.26
	3.97	219.96	27.83	199.67	31.32
	107.48	199.53	103.59	203.65	5.66
	194.42	214.39	206.29	200.60	18.19
	208.96	200.99	196.57	215.67	19.22
	170.91	202.91	155.82	218.92	22.00
