vx	vy	vz	score	numLines
0.95095276	0.30930143	-0.00463330	2209.45	108
0.99990985	0.01336655	0.00127597	1475.94	53
0.61763532	-0.78641430	0.00889687	671.44	26

nLines	x1	y1	x2	y2	length
108
	484.00	82.99	490.89	84.54	7.06
	473.95	129.14	455.03	122.64	20.00
	544.03	94.75	552.89	96.42	9.02
	594.03	96.73	613.97	99.72	20.16
	571.08	98.66	581.00	100.60	10.11
	529.00	100.01	538.98	102.09	10.19
	591.00	100.92	603.91	103.38	13.14
	520.03	102.31	530.93	105.29	11.30
	562.13	101.52	569.88	103.48	7.99
	606.03	107.45	620.84	111.63	15.39
	551.01	104.62	562.99	107.04	12.22
	589.16	104.42	601.13	106.67	12.18
	514.12	105.53	525.98	108.21	12.15
	576.00	105.57	594.97	110.40	19.57
	546.16	107.47	558.96	110.29	13.12
	505.04	109.37	516.98	112.12	12.25
	538.07	110.73	550.01	113.98	12.37
	571.02	110.53	588.09	113.83	17.38
	602.00	112.01	622.00	115.67	20.33
	491.03	112.74	507.01	115.96	16.31
	563.01	113.80	580.92	117.52	18.29
	594.99	115.14	616.00	119.69	21.49
	623.01	117.50	634.05	120.33	11.40
	480.95	116.43	496.92	120.26	16.43
	531.15	115.50	539.03	117.42	8.11
	505.94	122.16	524.99	127.05	19.66
	519.11	118.15	534.00	122.04	15.39
	555.00	117.80	573.97	121.45	19.32
	469.09	120.51	485.90	124.41	17.25
	546.00	121.54	565.98	126.12	20.49
	584.09	122.66	601.99	127.70	18.60
	610.00	125.95	633.88	131.34	24.48
	494.84	126.38	513.99	131.07	19.72
	525.95	129.39	547.99	135.14	22.78
	537.01	125.77	556.95	130.32	20.45
	573.01	127.34	593.62	133.98	21.65
	391.25	139.44	398.97	141.65	8.04
	438.98	128.29	461.93	134.44	23.76
	602.99	130.38	627.97	136.10	25.62
	563.99	131.52	583.98	137.05	20.74
	599.11	135.69	622.01	141.36	23.58
	597.02	158.96	574.02	151.95	24.04
	557.94	154.12	534.96	147.59	23.89
	428.01	133.66	448.06	139.81	20.97
	470.04	135.76	492.00	141.99	22.83
	507.05	139.91	526.98	146.08	20.87
	555.00	136.57	576.95	142.13	22.65
	412.08	138.57	432.90	145.39	21.91
	456.87	141.34	480.00	148.00	24.07
	587.10	140.59	614.99	146.44	28.50
	582.99	146.01	606.97	152.26	24.78
	396.01	144.71	417.04	151.88	22.22
	491.99	145.73	515.97	152.29	24.86
	441.96	147.16	461.01	153.51	20.08
	378.00	150.94	399.90	159.65	23.56
	425.99	153.47	449.94	161.41	25.23
	462.03	157.43	489.98	166.22	29.30
	522.97	153.47	547.00	160.61	25.07
	564.05	158.29	586.96	165.67	24.07
	332.06	158.83	338.92	161.27	7.28
	509.05	158.53	534.04	167.42	26.53
	552.97	165.07	576.96	173.09	25.30
	408.92	160.21	433.00	168.97	25.62
	337.07	165.77	358.92	174.29	23.46
	447.96	165.54	474.97	174.45	28.44
	389.00	167.07	412.93	176.25	25.64
	497.00	166.92	526.01	175.75	30.33
	540.37	171.49	566.04	180.88	27.34
	430.98	173.31	457.97	182.31	28.45
	313.00	174.01	335.96	184.21	25.13
	368.00	174.97	393.96	186.67	28.47
	482.00	174.93	511.97	184.58	31.48
	524.00	180.97	554.07	190.88	31.66
	412.00	182.03	440.95	192.39	30.75
	286.06	183.29	308.91	194.26	25.35
	345.02	184.42	370.93	196.22	28.48
	464.11	184.42	496.95	194.64	34.40
	510.00	190.46	541.10	200.37	32.64
	395.08	192.32	420.95	203.39	28.14
	448.03	192.35	479.98	205.61	34.60
	255.92	193.73	279.94	206.27	27.09
	320.00	195.48	345.96	208.14	28.88
	494.72	199.47	526.11	211.33	33.55
	369.00	202.43	397.97	215.17	31.65
	428.19	202.64	460.97	216.59	35.63
	290.14	206.35	317.06	220.85	30.58
