vx	vy	vz	score	numLines
-0.99674345	-0.08063796	-0.00012069	2596.32	302
-0.37586948	-0.92666709	-0.00319972	1292.83	58
0.92584184	0.37791091	0.00047081	978.04	167

nLines	x1	y1	x2	y2	length
302
	149.97	3.70	160.72	4.60	10.79
	169.07	11.63	178.80	12.79	9.80
	178.04	17.38	183.86	18.25	5.89
	335.96	16.12	342.03	16.56	6.09
	198.94	19.73	204.89	20.42	5.98
	200.01	26.79	205.93	26.91	5.93
	336.01	31.75	342.01	31.93	6.00
	311.06	31.62	318.96	32.55	7.95
	152.92	37.92	144.03	37.46	8.90
	241.22	42.78	254.72	44.23	13.58
	281.97	43.06	290.03	43.35	8.06
	335.12	46.84	342.01	47.84	6.96
	356.84	53.44	393.00	56.00	36.25
	78.98	54.41	84.24	54.49	5.25
	340.13	53.90	345.42	54.61	5.34
	201.15	59.34	209.06	60.13	7.95
	220.80	62.22	213.97	61.46	6.87
	187.99	60.40	194.99	61.06	7.03
	25.09	65.41	31.84	66.22	6.80
	64.02	80.17	56.00	79.99	8.02
	57.89	72.74	67.06	73.39	9.19
	292.00	69.20	301.20	69.78	9.21
	29.06	70.39	34.96	71.12	5.94
	247.93	71.42	256.98	72.21	9.08
	275.00	74.99	281.90	75.22	6.91
	274.00	79.11	308.95	81.45	35.03
	383.00	78.99	391.00	79.36	8.00
	318.07	81.76	329.99	81.98	11.93
	335.97	82.08	358.04	83.34	22.10
	292.13	88.40	281.99	88.12	10.15
	89.21	89.47	84.00	88.74	5.26
	303.90	85.45	329.06	85.72	25.16
	157.98	85.69	183.92	87.64	26.00
	78.04	86.67	83.02	87.31	5.02
	324.08	88.28	332.01	88.79	7.95
	226.01	91.87	240.93	93.54	15.01
	240.02	88.91	248.08	89.21	8.06
	79.00	98.58	70.04	97.86	8.99
	69.02	91.72	77.21	92.59	8.24
	322.28	97.36	328.09	97.65	5.81
	311.64	98.51	325.12	99.08	13.48
	390.06	99.36	396.99	99.70	6.94
	396.24	102.38	406.02	102.51	9.78
	366.93	104.06	373.29	104.84	6.42
	188.32	105.36	193.87	105.77	5.57
	296.97	113.40	302.92	113.67	5.95
